Country;ISO2;Indicator;Unit;F1961;F1962;F1963;F1964;F1965;F1966;F1967;F1968;F1969;F1970;F1971;F1972;F1973;F1974;F1975;F1976;F1977;F1978;F1979;F1980;F1981;F1982;F1983;F1984;F1985;F1986;F1987;F1988;F1989;F1990;F1991;F1992;F1993;F1994;F1995;F1996;F1997;F1998;F1999;F2000;F2001;F2002;F2003;F2004;F2005;F2006;F2007;F2008;F2009;F2010;F2011;F2012;F2013;F2014;F2015;F2016;F2017;F2018;F2019;F2020;F2021;F2022
Estonia, Rep. of;EE;Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980;Degree Celsius;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1.601;0.553;0.359;1.748;-0.35;0.932;0.542;1.524;2.066;1.838;1.483;0.234;1.184;1.597;1.262;2.269;2.607;1.622;0.554;1.299;1.47;1.183;2.447;2.377;1.936;1.502;2.413;2.218;3.625;2.167;1.961
Eswatini, Kingdom of;SZ;Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980;Degree Celsius;0.268;0.433;-0.21;0.022;-0.224;0.295;-0.274;-0.431;0.346;0.5;-0.002;-0.395;0.112;-0.233;-0.353;-0.436;0.305;0.188;0.234;-0.13;-0.429;0.17;0.915;-0.04;0.571;0.321;0.567;0.608;0.142;0.281;0.53;1.147;0.733;-0.006;0.585;-0.042;0.235;0.991;0.505;-0.061;0.517;0.601;0.715;0.525;1.153;0.365;1.133;0.64;0.383;1.287;0.897;0.696;0.566;0.781;1.235;1.216;0.688;1.064;1.623;0.77;0.669;1.371
Ethiopia, The Federal Dem. Rep. of;ET;Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980;Degree Celsius;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0.132;0.483;0.718;0.689;0.619;0.772;0.305;0.565;0.729;1.031;1.092;0.834;1.092;1.003;0.88;0.832;1.339;1.276;1.174;1.104;1.229;1.187;1.442;1.532;1.496;0.986;1.32;1.343;1.516;1.455
Falkland Islands (Malvinas);FK;Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980;Degree Celsius;-0.351;0.401;-0.286;-0.082;0.178;-0.606;0.011;0.286;-0.348;0.203;-0.223;-0.505;0.219;0.211;0.128;-0.223;-0.089;0.228;0.644;0.186;0.186;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Faroe Islands;FO;Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980;Degree Celsius;0.63;-0.48;-0.056;0.478;-0.354;-0.393;-0.12;-0.25;-0.344;-0.51;0.245;0.672;-0.049;0.501;-0.024;0.508;-0.311;-0.11;-0.873;0.041;-0.364;0.223;-0.266;0.489;-0.118;-0.119;0.221;0.303;0.53;0.801;1.113;0.812;-0.053;-0.172;-0.31;0.202;0.755;0.553;0.469;0.188;0.461;1.034;1.604;1.019;0.487;1.136;0.952;0.89;1.441;0.26;1.055;0.359;0.597;1.764;0.813;0.803;1.49;0.831;0.877;0.839;1.012;1.396
Fiji, Rep. of;FJ;Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980;Degree Celsius;0.219;-0.083;-0.046;0.185;-0.643;-0.293;-0.286;-0.103;-0.075;0.118;0.157;-0.208;0.446;0.221;0.227;-0.004;-0.079;-0.002;0.154;0.195;0.161;0.151;0.111;0.358;0.317;-0.103;0.206;0.846;0.247;0.348;0.09;0.039;-0.319;-0.133;0.385;0.445;0.152;0.765;0.538;0.706;0.728;0.72;0.581;0.526;0.698;0.636;1.032;0.584;0.409;0.978;0.898;0.589;0.916;0.646;0.517;0.97;1.127;0.953;1.065;1.237;1.075;1.346
Finland;FI;Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980;Degree Celsius;1.892;-0.339;-0.401;0.338;-0.263;-1.801;1.088;-1.634;-0.478;-0.629;-0.452;0.933;1.138;1.121;1.893;-0.877;-0.227;-0.526;-0.755;-0.38;-0.24;-0.155;0.964;0.757;-1.177;-0.181;-1.652;0.579;2.179;1.249;1.138;1.165;0.937;0.146;1.701;0.137;0.783;0.071;1.159;2.024;1.365;1.171;0.713;1.233;2.201;1.204;1.946;2.13;1.695;0.242;1.354;1.54;1.424;2.591;2.613;2.151;1.487;2.157;1.452;3.317;1.938;2.062
France;FR;Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980;Degree Celsius;0.827;-0.301;-0.955;0.025;-0.625;0.421;0.494;-0.073;0.024;-0.092;-0.161;-0.325;0.059;-0.081;0.483;0.368;0.015;-0.216;-0.187;-0.217;0.097;0.812;0.721;-0.082;-0.338;-0.003;0.001;0.773;1.278;1.591;0.257;0.659;0.325;1.547;1.326;0.188;1.24;0.947;1.199;1.175;1.391;1.054;1.8;0.969;1.02;1.306;1.407;0.992;1.212;0.395;1.534;1.22;0.714;2.049;1.612;1.794;1.796;2.06;2.023;2.551;1.337;2.929
French Polynesia;PF;Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980;Degree Celsius;0.207;-0.046;0.037;-0.137;-0.083;0.081;-0.274;-0.516;0.301;0.182;-0.342;0.119;0.325;-0.342;-0.247;-0.25;0.243;-0.074;0.105;0.225;0.132;0.323;0.189;0.412;0.154;0.278;0.478;0.356;0.159;0.397;0.341;0.352;0.141;0.543;0.582;0.188;0.335;0.633;0.456;0.329;0.502;0.796;0.703;0.531;0.672;0.841;0.85;0.357;0.8;0.76;0.214;0.722;0.536;0.616;0.681;1.127;0.901;0.631;0.857;0.829;0.791;0.359
Gabon;GA;Temperature change with respect to a baseline climatology, corresponding to the period 1951-1980;Degree Celsius;-0.139;-0.063;0.232;-0.148;-0.164;0.14;-0.127;-0.138;0.11;0.142;-0.053;-0.064;0.468;-0.084;-0.126;-0.335;0.185;0.069;0.385;0.307;-0.176;-0.374;0.174;0.204;-0.219;-0.126;0.272;0.232;-0.023;0.124;0.081;-0.166;0.19;0.187;0.582;0.104;0.292;1.119;0.589;0.307;0.286;0.662;0.893;0.831;0.808;0.737;0.926;0.782;0.824;1.08;0.657;0.615;0.794;0.805;1.024;1.505;1.353;1.026;1.534;1.377;1.063;0.994
